Ball #,BallName,IO Type,X,Y,Interface,Notes

TODO
EV6,XTAL_OUT,O,9931.8,22391.7,PCH Interfaces,
EV8,XTAL_IN,I,9300.6,22573.9,PCH Interfaces,
ET51,WAKE#,IOD,-7918.8,21680.9,PCH Interfaces,
AF30,VCCINAUX_SENSE,PWR_SENSE,488.9,-14251.9,Power,
DA3,VCCGT,PWR,11290,7556.2,Power,
CV1,VCCGT_SENSE,PWR_SENSE ,11940,6256.2,CPU Power,
CT12,RSVD_TP,N/A,7438.2,5786.2,Test Point ,
R9,VIDSOUT,I/O,8738.2,-18892.8,Legacy/Sidebend,
U9,VIDSCK,O,8738.2,-18041.8,Legacy/Sidebend,
W9,VIDALERT#,I,8738.2,-17190.8,Legacy/Sidebend,
ET21,VDDEN,O,4093.2,21680.9,PCH Display,
BJ11,RSVD_TP,N/A,8088.2,-5276.8,Test Point ,
DJ6,VCCST_PWRGD_SX,I,10038.2,10892.2,Legacy/Sidebend,
DJ8,VCCST_PWRGD,I,9388.2,10892.2,Legacy/Sidebend,
DK4,VCCST_OVERRIDE,O,10727,11131.2,PCH Power,
BJ12,RSVD_TP,N/A,7438.2,-5276.8,Test Point ,
FB45,RSVD,N/A,-5607.4,24058.1,N/A,
BL12,RSVD_TP,N/A,7438.2,-4425.8,Test Point,
EC38,VCCRTC,PWR,-2913.8,16480.9,PCH Power,
EE33,VCCPGPPR,PWR,-911.8,17130.9,PCH Power,
EB42,VCCDSW_3P3,PWR,-4567.4,16056.4,PCH Power,
FB52,VCCLDOSTD_0P85,PWR,-8248.4,24038.1,PCH Power,
AH30,VSSINAUX_SENSE,GND_SENSE,488.9,-13601.9,Power,
P1,VCCIN_AUX_FLTR,PWR,11940,-19093.8,Power,
EA14,RSVD_TP,N/A,6746.7,15575.7,Test Point,
CM44,RSVD_TP,N/A,-5102.8,3877.2,Test Point,
AR14,VCC1P05_PROC_OUT,PWR,6946.7,-10808.3,CPU Power,
AU14,VCC1P05_PROC_OUT,PWR,6946.7,-9957.3,Power,
EE41,VCCDSW_1P05,PWR,-3914.8,17130.9,PCH Power,
FB39,VCCDPHY_1P24,PWR,-3129.2,24058.1,PCH Power,
CV3,VCCGT_VSS_SENSE,GND_SENSE,11290,6256.2,Power,
CR14,RSVD_TP,N/A,6946.7,5360.7,Test Point,
EJ14,VCCA_CLKLDO_1P8,PWR,6746.7,18979.7,PCH Power,
EM14,VCCA_CLKLDO_1P8,PWR,6746.7,19830.7,PCH Power,
BF14,RSVD_TP,N/A,6946.7,-6553.3,Test Point,
CN43,RSVD_TP,N/A,-4678.6,4374.4,Test Point,
BA14,RSVD_TP,N/A,6946.7,-8255.3,Test Point,
BP44,RSVD_TP,N/A,-5179,-3225.1,Test Point,
E61,VCC1P8_PROC,PWR,-11940,-22680,CPU Power,
G61,VCC1P8_PROC,PWR,-11940,-22030,CPU Power,
H59,VCC1P8_PROC,PWR,-11376.8,-21705,CPU Power,
AH44,VCC1P8_PROC,PWR,-5179,-13780.5,CPU Power,
AJ45,VCC1P8_PROC,PWR,-5596.8,-13280.1,CPU Power,
AK44,VCC1P8_PROC,PWR,-5071,-12896.7,CPU Power,
AL45,VCC1P8_PROC,PWR,-5596.8,-12513.3,CPU Power,
AM41,VCC1P8_PROC,PWR,-4121.9,-11934,CPU Power,
AM44,VCC1P8_PROC,PWR,-5179,-12012.9,CPU Power,
AN43,VCC1P8_PROC,PWR,-4678.6,-11597.8,CPU Power,
AM15,VCC_DISPIO,PWR,6494.9,-11867.9,CPU Power,
V1,VCC_MIPILP ,PWR,11940,-17793.8,CPU Power,
EB36,VCCPRIM1P05_OUT_PCH,PWR,-1912.8,15830.9,PCH Power,
EC36,VCCPRIM1P05_OUT_PCH,PWR,-1912.8,16480.9,PCH Power,
AT12,VCC1P05_PROC_OUT,PWR,7438.2,-10382.8,CPU Power,
EV3,VCC1P05_OUT_FET,PWR,11312,22511.8,PCH Interfaces,
EW1,VCC1P05_OUT_FET,PWR,11940,22680,PCH Interfaces,
EY1,VCC1P05_OUT_FET,PWR,11940,23330,PCH Interfaces,
EU1,VCC1P05_PROC,PWR,11940,22030,CPU Power,
EU4,VCC1P05_PROC,PWR,10987,21948.8,CPU Power,
BK14,RSVD_TP,N/A,6946.7,-4851.3,Test Point,
BN43,RSVD_TP,N/A,-4651.4,-3612,Test Point,
EF21,VCC_VNNEXT_1P05,PWR,4093.2,17780.9,PCH Power,
EH21,VCC_VNNEXT_1P05,PWR,4093.2,18430.9,PCH Power,
EE18,VCC_V1P05EXT_1P05,PWR,5094.2,17130.9,PCH Power,
EE21,VCC_V1P05EXT_1P05,PWR,4093.2,17130.9,PCH Power,
FC9,RSVD,N/A,8873.5,24440,N/A,
FC7,RSVD,N/A,9530,24440,N/A,
EC18,RSVD,N/A,5094.2,16480.9,N/A,
DL8,UFS_RESET#,I,9188.2,11746.2,PCH Interfaces,
AH32,THERMTRIP#,O,-512.1,-13601.9,Legacy/Sidebend,
CB11,RSVD_TP,N/A,8088.2,-170.8,Test Point,
CT3,VCCCORE_SENSE,PWR_SENSE ,11290,5606.2,CPU Power,
BW11,RSVD_TP,N/A,8088.2,-1021.8,Test Point,
CT1,VCCCORE_VSS_SENSE,GND_SENSE,11940,5606.2,Power,
EK18,RSVD_TP,N/A,5094.2,19080.9,Test Point,
EH18,RSVD_TP,N/A,5094.2,18430.9,Test Point,
AL3,VSS,GND,11290,-12593.8,Power,
AY11,RSVD_TP,N/A,8088.2,-8680.8,Test Point,
AT9,RSVD_TP,N/A,8738.2,-10382.8,Test Point,
AP11,RSVD_TP,N/A,8088.2,-11233.8,Test Point,
AT11,RSVD_TP,N/A,8088.2,-10382.8,Test Point,
AP12,RSVD_TP,N/A,7438.2,-11233.8,Test Point,
AY12,VSS,GND,7438.2,-8680.8,Power ,
EK26,SYS_RESET#,I,2091.2,19080.9,PCH Power,
EK23,SYS_PWROK,I,3092.2,19080.9,PCH Power,
FB56,SRTCRST#,I,-10011.8,23812,PCH Power,
EL53,SPIVCCIOSEL,I,-8919.8,19730.9,PCH Power,
EF56,SPI0_CS2#,O,-9866.1,17451.9,PCH Interfaces,
EF57,SPI0_MOSI,I/O,-10536.1,17442.8,PCH Interfaces,
EF59,SPI0_MISO,I/O,-11250.2,17426.6,PCH Interfaces,
EC59,SPI0_IO3,I/O,-11162.2,16218.2,PCH Interfaces,
EC61,SPI0_IO2,I/O,-11940,16216.8,PCH Interfaces,
EG58,SPI0_CS1#,O,-10810.4,18032.7,PCH Interfaces,
EF61,SPI0_CS0#,O,-11940,17563,PCH Interfaces,
EG56,SPI0_CLK,O,-10159.9,18032.7,PCH Interfaces,
EH41,RSVD,N/A,-3914.8,18430.9,N/A,
EF33,RSVD,N/A,-911.8,17780.9,N/A,
EE46,RSVD,N/A,-5916.8,17130.9,N/A,
DT42,RSVD,N/A,-4567.4,13503.4,N/A,
BG53,RSVD,N/A,-8852.6,-5905,N/A,
BG47,RSVD,N/A,-6559,-5905,N/A,
AL40,RSVD,N/A,-3512.1,-12301.9,N/A,
AL30,RSVD,N/A,488.9,-12301.9,N/A,
AK40,RSVD,N/A,-3512.1,-12951.9,N/A,
AK22,RSVD,N/A,3491.9,-12951.9,N/A,
AH20,RSVD,N/A,4492.9,-13601.9,N/A,
AF27,RSVD,N/A,1489.9,-14251.9,N/A,
FA53,SNDW_RCOMP,Analog,-8835.6,23752.2,PCH Interfaces,
FC53,SNDW_RCOMP,Analog,-8812,24440,PCH Interfaces,
EN53,SLP_SUS#,O,-8919.8,20380.9,PCH Interfaces,
EK53,SLP_LAN#,O,-8919.8,19080.9,PCH Interfaces,
AK35,SKTOCC#,N/A,-1513.1,-12951.9,CPU MISC,
FB4,RSVD_TP,N/A,10662,23812,Test Point,
FC4,RSVD_TP,N/A,10830,24440,Test Point,
FA55,RTCRST#,I,-9448.8,23487,PCH Interfaces,
EV58,RTCX2,O,-10661.9,22511.8,PCH Interfaces,
